序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
777,2311,海大集团,广东海大集团股份有限公司,广东,广州市,3255663.41,120722.52,15138,2009-11-27,--,,饲料,饲料、动保产品、农产品、贸易业务,水产预混料、水产配合饲料和畜禽配合饲料的研发、生产和销售。
778,2312,三泰控股,成都三泰控股集团股份有限公司,四川,成都市,80554.17,30239.62,10221,2009-12-03,--,,金融设备,金融电子及服务行业、智能快件箱行业,从事金融电子设备生产、销售及金融外包服务
779,2313,日海智能,日海智能科技股份有限公司,广东,深圳市,298978.61,10202.08,2534,2009-12-03,--,,通信传输设备,通讯服务,主要为电信运营商提供有线宽带/光纤宽带网络建设解决方案及产品、移动宽带/无线站点建设解决方案及产品、通信网络的勘察、设计、施工及代维服务
780,2314,南山控股,深圳市新南山控股(集团)股份有限公司,广东,深圳市,660152.05,64185.7,3494,2009-12-03,--,,房地产开发,房地产业务、集成房屋业务、船舶舱室配套业务、塔机租赁业务,组合集成房屋的租赁、安装、拆迁及售后服务;与船舶舱室配套产品的售后服务、塔机租赁及配套服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
781,2315,焦点科技,焦点科技股份有限公司,江苏,南京市,121108.88,7315.42,1985,2009-12-09,--,,电子商务B2B,B2B、保险、商品贸易、商业服务,运营自主开发的中国制造网电子商务平台（Made-in-China.com）、百卓采购网（Abiz.com）、新一站保险网（xyz.cn）三大电子商务平台，针对跨境贸易的外贸综合服务、海外仓储服务
782,2316,亚联发展,深圳亚联发展科技股份有限公司,广东,深圳市,103414.38,-2434.82,1002,2009-12-09,--,,通信配套服务,专网通讯技术解决方案、交通工程系统集成、收单服务,从事专网信息通信技术解决方案业务的服务商，主要为能源、交通等行业提供信息通信技术解决方案，包括相关软硬件产品的研发、制造与服务，以及第三方支付业务。
783,2317,众生药业,广东众生药业股份有限公司,广东,东莞市,196423.5,42012.11,1704,2009-12-11,--,,中药生产,中成药、化学药,药品研发、生产、销售
784,2318,久立特材,浙江久立特材科技股份有限公司,浙江,湖州市,283300.3,13382.42,2704,2009-12-11,--,,特钢,不锈钢管,工业用不锈钢及特种合金管材、管件的研发、生产和销售
785,2319,乐通股份,珠海市乐通化工股份有限公司,广东,珠海市,53204.65,1064.82,441,2009-12-11,--,,油墨,油墨、涂料,从事以凹印油墨为主的各类印刷油墨的技术开发、生产与销售
786,2320,海峡股份,海南海峡航运股份有限公司,海南,海口市,97802.24,22779.03,1302,2009-12-16,--,,航运,水路运输、运输增值服务,海口至海安往返航线、海口至广州往返航线(已停运)、海口至北海往返航线、海口、三亚至西沙往返航线、泉州至金门往返航线
787,2321,华英农业,河南华英农业发展股份有限公司,河南,信阳市,412192.59,6126.39,3242,2009-12-16,--,,畜牧养殖,冻鸭、熟食、鸭苗、鸡苗、鸭毛、饲料、冻鸡、种蛋、羽绒、商品鸡、羽绒制品、租赁收入、销售原材料、仓储收入、托市粮购销,种鸭/鸡养殖、孵化、禽苗销售、饲料生产、商品鸭/鸡屠宰加工、冻品销售以及熟食、羽绒生产和销售
788,2322,理工环科,宁波理工环境能源科技股份有限公司,浙江,宁波市,84185.34,27911.79,1571,2009-12-18,--,,电气自控设备,电力在线监测系统、电力造价软件、水质监测设备、土壤修复,智能电网在线监测、环境监测、电力信息化
789,2323,*ST百特,江苏雅百特科技股份有限公司,江苏,盐城市,137725.66,26409.27,555,2009-12-18,--,,钢结构,金属屋面工程、光伏业务、软件及设计,大型金属屋(墙)面围护系统和分布式光伏屋面系统工程的设计、制作、安装和服务
790,2324,普利特,上海普利特复合材料股份有限公司,上海,上海市,339748.71,17423.21,1372,2009-12-18,--,,塑料制品,汽车、非汽车,先进高分子材料和高性能纤维及其复合材料的研发、生产、销售和服务
791,2325,洪涛股份,深圳市洪涛装饰股份有限公司,广东,深圳市,333087.55,13718.77,2275,2009-12-22,--,,装修装饰,建筑装饰业、职业教育,承接酒店、剧院会场、写字楼、图书馆、医院、体育场馆等公共装饰工程的设计及施工。
792,2326,永太科技,浙江永太科技股份有限公司,浙江,台州市,275112.23,18223.61,2752,2009-12-22,--,,氟化工,医药、农药、电子化学品、新能源锂电材料,医药、农药和电子化学品业务
793,2327,富安娜,深圳市富安娜家居用品股份有限公司,广东,深圳市,261620.84,49346.7,5854,2009-12-30,--,,家纺,家居用品,床上用品、家居用品和其他家纺产品的研发设计、生产和销售
794,2328,新朋股份,上海新朋实业股份有限公司,上海,上海市,394839.62,9206.09,2873,2009-12-30,--,,汽车零部件,金属及通信部件、汽车零部件,从事汽车零部件开卷、冲压、焊接，以及电视屏散热板、通讯机柜机箱等产品的生产和销售
795,2329,皇氏集团,皇氏集团股份有限公司,广西,南宁市,236675.39,5674.0,2075,2010-01-06,--,,乳制品,乳制品、影视传媒,乳制品的研发、生产加工和销售。
796,2330,得利斯,山东得利斯食品股份有限公司,山东,潍坊市,160865.75,742.35,2479,2010-01-06,--,,肉制品,肉制品、速冻食品、预包装食品,生产和销售以“得利斯”为商标的冷却肉及冷冻肉等猪肉生肉制品、火腿等各类低温深加工熟肉制品
797,2331,皖通科技,安徽皖通科技股份有限公司,安徽,合肥市,99581.72,8271.76,1165,2010-01-06,--,,其他软件服务,系统集成、技术服务、技术转让、产品销售,从事交通信息化领域应用软件开发、信息系统集成以及运行维护服务
798,2332,仙琚制药,浙江仙琚制药股份有限公司,浙江,台州市,285255.53,20663.01,3890,2010-01-12,--,,化学制剂,医药,甾体原料药和制剂的研制、生产与销售
799,2333,罗普斯金,苏州罗普斯金铝业股份有限公司,江苏,苏州市,103248.07,-3895.69,1305,2010-01-12,--,,铝,铝合金铸棒、铝合金挤压型材,铝合金挤压型材、铝合金熔铸的研发、生产和销售。
800,2334,英威腾,深圳市英威腾电气股份有限公司,广东,深圳市,212231.1,22585.5,2949,2010-01-13,--,,其他电气设备,工业自动化、能源电力,高、中、低压变频器及伺服驱动器研发、制造和销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
801,2335,科华恒盛,厦门科华恒盛股份有限公司,福建,厦门市,241234.47,42620.81,3793,2010-01-13,--,,储能设备,高端电源、云基础产品及服务、新能源产品、配套产品、电力自动化系统、智慧能源管理系统、光伏发电,信息设备用UPS电源、工业动力用UPS电源的生产与销售。
802,2336,人人乐,人人乐连锁商业集团股份有限公司,广东,深圳市,885528.55,-53841.16,15164,2010-01-13,--,,超市,零售,商品零售连锁经营
803,2337,赛象科技,天津赛象科技股份有限公司,天津,天津市,56697.38,1449.57,829,2010-01-15,--,,其他专用机械,通用橡胶机械设备、专用橡胶机械设备、其他设备、配件、机器人及相关设备,各种子午线轮胎生产成套装备和检测设备的研发、生产和销售
804,2338,奥普光电,长春奥普光电技术股份有限公司,吉林,长春市,36843.77,3846.83,1158,2010-01-15,--,,仪器仪表,光学仪器,光电测控仪器设备及光学材料等产品的研发、生产与销售
805,2339,积成电子,积成电子股份有限公司,山东,济南市,161851.3,7152.89,2399,2010-01-22,--,,电气自控设备,电力自动化、公用事业自动化,电网自动化（含电网调度自动化、变电站自动化）、配用电自动化和发电厂自动化设备与系统、公用事业自动化设备与系统产品的软件开发、生产和系统集成。
806,2340,格林美,格林美股份有限公司,广东,深圳市,1075214.3,61033.93,5051,2010-01-22,--,,其他金属新材料,废弃资源综合利用,废弃钴镍钨资源与电子废弃物的循环利用以及钴镍粉体材料、电池材料、碳化钨、金银等稀贵金属、铜与塑木型材的生产、销售。
807,2341,新纶科技,深圳市新纶科技股份有限公司,广东,深圳市,206442.45,17253.05,2212,2010-01-22,--,,化学新材料,净化产品、净化工程、超净清洗、精密模具、功能材料,防静电、洁净室耗品的研发、生产、销售；净化工程的设计、施工、维护；超净清洗服务。
808,2342,巨力索具,巨力索具股份有限公司,河北,保定市,141594.11,-1716.18,3033,2010-01-26,--,,金属制品,合成纤维吊装带索具、钢丝绳及钢丝绳索具、工程及金属索具、链条及链条索具、热力销售,索具及相关产品的研发、设计、生产和销售
809,2343,慈文传媒,慈文传媒股份有限公司,浙江,嘉兴市,166560.31,40842.16,216,2010-01-26,--,,影视,影视剧、游戏产品、艺人经纪服务、信息技术服务,影视剧的投资、制作、发行及衍生业务，移动休闲游戏研发推广和渠道推广业务及艺人经纪业务
810,2344,海宁皮城,海宁中国皮革城股份有限公司,浙江,嘉兴市,186929.84,30126.23,1515,2010-01-26,--,,专业市场,市场开发及经营、住宅开发销售、商品流通、酒店服务,皮革专业市场的开发、租赁和服务
811,2345,潮宏基,广东潮宏基实业股份有限公司,广东,汕头市,308618.37,28424.47,6065,2010-01-28,--,,珠宝首饰,珠宝首饰、中高档时尚女包,从事中高端时尚消费品的品牌管理和产品的设计、研发、生产及销售
812,2346,柘中股份,上海柘中集团股份有限公司,上海,上海市,45321.26,25925.58,472,2010-01-28,--,,其他输变电设备,成套开关设备、备品备件、PHC管桩、建筑安装,成套开关设备生产与销售
813,2347,泰尔股份,泰尔重工股份有限公司,安徽,马鞍山市,43825.88,-7423.36,988,2010-01-28,--,,基础件,万向联轴器、鼓形齿式联轴器、精密卷筒、打包机、电池注液机、再制造业务、剪刃、复合滑板、汽车传动轴,万向轴、联轴器、精密卷筒的研发、生产、和销售及再制造服务
814,2348,高乐股份,广东高乐玩具股份有限公司,广东,揭阳市,66115.29,5508.91,1273,2010-02-03,--,,玩具,玩具制造、教育信息化服务,电子电动玩具的研发、生产和销售
815,2349,精华制药,精华制药集团股份有限公司,江苏,南通市,112092.03,17532.0,1570,2010-02-03,--,,中药生产,中成药制剂、中药材及中药饮片、原料药及医药中间体、化工医药中间体,中成药、中药材、原料药及医药中间体和西药制剂的研发、生产和销售
816,2350,北京科锐,北京科锐配电自动化股份有限公司,北京,北京市,221528.06,7218.97,1916,2010-02-03,--,,电气自控设备,配电及控制设备,从事环网柜、箱式变电站、永磁机构真空开关设备、故障定位类产品、柱上开关、自动化产品、电力电子成套设备及其他配电自动化产品的研发、生产和销售。
817,2351,漫步者,深圳市漫步者科技股份有限公司,广东,深圳市,90079.04,11653.24,2679,2010-02-05,--,,消费电子设备,电子,多媒体音箱、耳机、汽车音响相关产品的研发、设计、生产和销售。
818,2352,顺丰控股,顺丰控股股份有限公司,安徽,马鞍山市,7109429.7,477068.97,136432,2010-02-05,--,,物流,快递物流综合服务,综合性快递物流服务
819,2353,杰瑞股份,烟台杰瑞石油服务集团股份有限公司,山东,烟台市,318707.65,6778.96,3856,2010-02-05,--,,石油钻采设备,钻完井设备、维修改造及配件销售、油田技术服务、环保服务及设备、油田开发服务、油田工程设备、油田工程服务,油田专用设备制造；设备维修改造及配件销售；油田工程技术服务。
820,2354,天神娱乐,大连天神娱乐股份有限公司,辽宁,大连市,310137.5,101967.62,1782,2010-02-09,--,,游戏,网页游戏、移动游戏、移动端收入、IOSApp、技术及咨询服务,网页网游和移动网游的研发和发行
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
821,2355,兴民智通,兴民智通(集团)股份有限公司,山东,烟台市,186812.84,6216.74,2747,2010-02-09,--,,汽车零部件,钢制车轮、车载无线及集成产品、智驾设计及服务、边角料,汽车钢制车轮与车载信息化硬件的研发、制造和销售
822,2356,赫美集团,深圳赫美集团股份有限公司,广东,深圳市,241038.79,14399.05,4650,2010-02-09,--,,珠宝首饰,智能电表、金融服务、服饰、钻石首饰、文化旅游服务,电子式电能表、用电管理终端、配备监测终端、预购电控制装置、配变监测系统、配网自动化系统、电能计量集抄系统、预付费网络管理系统和有线、无线电能计量自动化系统及水、电、气、热四表一体化采集等研发、生产及销售
823,2357,富临运业,四川富临运业集团股份有限公司,四川,绵阳市,107520.94,10319.42,3056,2010-02-10,--,,公交,汽车客运站服务、汽车客运服务,主要提供客运站服务和客运运输服务
824,2358,森源电气,河南森源电气股份有限公司,河南,许昌市,355147.15,44672.48,3051,2010-02-10,--,,其他输变电设备,高压开关元件、高压成套设备、低压成套设备、电能质量治理装置、新能源产品,高低压配电成套装置、电能质量治理、高压电器元器件系列产品开发、生产和销售。
825,2359,北讯集团,北讯集团股份有限公司,山东,滨州市,209587.24,21763.13,1550,2010-02-10,--,,其他输变电设备,铁塔类产品、通讯终端销售、通信服务,各类铁塔产品以及立体停车设备的生产、销售业务；无线宽带数据服务业务。
826,2360,同德化工,山西同德化工股份有限公司,山西,忻州市,70971.64,9612.92,1949,2010-03-03,--,,民爆用品,工业炸药、工程爆破,民用炸药及二氧化硅系列产品
827,2361,神剑股份,安徽神剑新材料股份有限公司,安徽,芜湖市,182798.64,12443.6,1179,2010-03-03,--,,涂料涂漆,户外型树脂、混和型树脂、新戊二醇、高端装备制造,专业从事聚酯树脂系列产品的生产销售。
828,2362,汉王科技,汉王科技股份有限公司,北京,北京市,60438.57,4325.49,1423,2010-03-03,--,,行业应用软件,智能终端产品、笔触控与轨迹、大数据、人脸及生物特征识别,从事以模式识别为核心的智能交互领域相关的软硬件产品生产、行业应用、技术授权及平台服务。
829,2363,隆基机械,山东隆基机械股份有限公司,山东,烟台市,172462.33,5607.41,2743,2010-03-05,--,,汽车零部件,汽车配件,制动盘、制动毂、轮毂、刹车片等汽车零部件产品的研发、设计、生产和销售
830,2364,中恒电气,杭州中恒电气股份有限公司,浙江,杭州市,86610.94,6377.43,1947,2010-03-05,--,,储能设备,通信行业、电力行业、软件行业,生产配电屏、机架、整流器模块以及电源开关
831,2365,永安药业,潜江永安药业股份有限公司,湖北,潜江市,93277.17,13315.07,857,2010-03-05,--,,化学原料药,牛磺酸产品、环氧乙烷产品、保健食品,牛磺酸、环氧乙烷的研发、生产和销售
832,2366,台海核电,台海玛努尔核电设备股份有限公司,四川,眉山市,246980.83,101397.97,1623,2010-03-12,--,,核电设备,核电行业,核电专用设备的生产与销售
833,2367,康力电梯,康力电梯股份有限公司,江苏,苏州市,327993.5,32616.1,5060,2010-03-12,--,,电梯设备,电梯、扶梯、安装及维保、零部件,从事电梯、自动扶梯、自动人行道及成套配件的产品研发、生产、销售及整机产品的安装和维保
834,2368,太极股份,太极计算机股份有限公司,北京,北京市,529958.85,29194.06,4458,2010-03-12,--,,其他软件服务,云服务、网络安全服务、智慧应用与服务、系统集成服务,云服务、网络安全服务、智慧应用与服务、系统集成服务等。
835,2369,卓翼科技,深圳市卓翼科技股份有限公司,广东,深圳市,276324.92,2049.07,6671,2010-03-16,--,,电子零部件,3C产品、智能硬件产品、智能装备、光电显示业务,从事网络通讯、消费电子、智能终端类产品的研发、制造与销售
836,2370,亚太药业,浙江亚太药业股份有限公司,浙江,绍兴市,108295.11,20215.21,923,2010-03-16,--,,化学制剂,抗生素类制剂、非抗生素类制剂、临床前研究服务、临床研究服务,化学制剂、原料药、诊断试剂的研发、生产和销售，以及提供医药研发外包（CRO）服务。
837,2371,北方华创,北方华创科技集团股份有限公司,北京,北京市,222281.85,12561.02,3759,2010-03-16,--,,集成电路,半导体设备、真空设备、锂电设备、电子元器件,电子工艺装备和电子元器件
838,2372,伟星新材,浙江伟星新型建材股份有限公司,浙江,台州市,390295.82,82128.57,3779,2010-03-18,--,,管材,塑料管道,各类中高档塑料管道制造与销售
839,2373,千方科技,北京千方科技股份有限公司,北京,北京市,250426.08,36466.83,1721,2010-03-18,--,,其他软件服务,系统集成、技术开发及服务、产品销售、建造合同,“智能交通+互联网”业务
840,2374,丽鹏股份,山东丽鹏股份有限公司,山东,烟台市,185781.75,9005.78,2169,2010-03-18,--,,园林工程,防伪盖、复合型防伪印刷铝板、园林绿化,园林生态和包装
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
841,2375,亚厦股份,浙江亚厦装饰股份有限公司,浙江,绍兴市,906879.7,35768.69,5450,2010-03-23,--,,装修装饰,建筑装饰业,为建筑装饰装修工程、建筑幕墙工程、互联网家装、建筑智能化工程的设计和施工。
842,2376,新北洋,山东新北洋信息技术股份有限公司,山东,威海市,186043.07,28643.18,3159,2010-03-23,--,,专用计算机设备,关键基础零部件、整机及系统集成产品、物流,公司专业从事专用打印机及相关产品的研发、生产、销售和服务。
843,2377,国创高新,湖北国创高新材料股份有限公司,湖北,武汉市,255146.37,4318.54,7295,2010-03-23,--,,石油加工,沥青、房地产中介服务,改性沥青的研发、生产与销售和房地产中介服务。
844,2378,章源钨业,崇义章源钨业股份有限公司,江西,赣州市,183060.61,3141.88,3355,2010-03-31,--,,钨,有色金属采掘、冶炼、金属加工,"钨及其他金属矿产品采掘,钨制品的冶炼和深加工,钨制品销售。"
845,2379,宏创控股,山东宏创铝业控股股份有限公司,山东,滨州市,144649.53,3943.14,518,2010-03-31,--,,铝,高精度铝板带,制造高精度铝板带业务。
846,2380,科远股份,南京科远自动化集团股份有限公司,江苏,南京市,59094.18,10922.33,984,2010-03-31,--,,输配电设备,工业自动化 、工业互联网,热工自动化和电厂信息化产品研发、生产、销售和服务
847,2381,双箭股份,浙江双箭橡胶股份有限公司,浙江,嘉兴市,113787.53,11251.55,1158,2010-04-02,--,,其他橡胶制品,输送带,橡胶输送带的研发、生产和销售
848,2382,蓝帆医疗,蓝帆医疗股份有限公司,山东,淄博市,157594.53,20086.43,3294,2010-04-02,--,,塑料制品,健康防护手套,健康防护手套的生产和销售。
849,2383,合众思壮,北京合众思壮科技股份有限公司,北京,北京市,228770.37,24192.67,2227,2010-04-02,--,,卫星应用,卫星导航系统技术开发及设备,卫星导航定位软硬件产品及相关技术开发与服务。
850,2384,东山精密,苏州东山精密制造股份有限公司,江苏,苏州市,1538956.56,52619.36,11907,2010-04-09,--,,通信终端设备,精密钣金件、精密压铸件、精密电子件、柔性印刷电路及柔性电路组件产品,从事精密钣金、精密压铸件、半导体设备通讯设备设计、生产和销售。
851,2385,大北农,北京大北农科技集团股份有限公司,北京,北京市,1874173.86,126521.19,19030,2010-04-09,--,,饲料,饲料动保、种子植保,主要为养殖户和种植户提供高附加值的产品与服务
852,2386,天原集团,宜宾天原集团股份有限公司,四川,宜宾市,1528557.52,10265.38,3830,2010-04-09,--,,氯碱,聚氯乙烯、氯碱类产品、三聚磷酸钠、水泥、商贸、聚苯乙烯,生产和销售多型号聚氯乙烯树脂（PVC）、离子膜烧碱和水合肼及其他氯碱产品
853,2387,维信诺,维信诺科技股份有限公司,广东,汕头市,3172.75,1533.03,1682,2010-04-13,--,,植物蛋白饮料,食品饮料、AMOLED,OLED新型显示产品的研发、生产、销售和技术服务。
854,2388,新亚制程,深圳市新亚电子制程股份有限公司,广东,深圳市,81261.08,6496.21,409,2010-04-13,--,,电子零部件,电子制程、商业保理、租赁及其他,提供电子制程系统解决方案及实施方案涉及的电子制程产品。
855,2389,南洋科技,浙江南洋科技股份有限公司,浙江,台州市,144673.55,18670.4,1934,2010-04-13,--,,电子元件,航空航天产品、电子元器件制品,无人机整机产品和应用服务；电容器专用电子薄膜的制造和销售。
856,2390,信邦制药,贵州信邦制药股份有限公司,贵州,黔南布依族苗族自治州,600247.1,31938.35,5651,2010-04-16,--,,中药生产,药品、医疗器械、医疗服务,中成药的研发、生产和销售
857,2391,长青股份,江苏长青农化股份有限公司,江苏,扬州市,224530.59,22789.82,1915,2010-04-16,--,,农药,除草剂、杀虫剂、杀菌剂、服务业、让售材料,化学农药原药及制剂的生产
858,2392,北京利尔,北京利尔高温材料股份有限公司,北京,北京市,227720.07,16222.05,2027,2010-04-23,--,,耐火材料,耐火材料,"钢铁、有色、石化、建材等工业用耐火材料的生产和销售，并承担高温热工窑炉和装备的耐火材料设计研发、生产配套、施工安装、使用维护与技术服务为一体的""全程在线服务""的整体承包业务。"
859,2393,力生制药,天津力生制药股份有限公司,天津,天津市,102943.34,11681.72,1692,2010-04-23,--,,化学制剂,医药,化学药片剂、硬胶囊剂、滴丸剂、冻干粉针剂、水针剂、原料药等产品的生产销售
860,2394,联发股份,江苏联发纺织股份有限公司,江苏,南通市,400362.1,36028.65,8145,2010-04-23,--,,棉纺,色织布、服装(衬衣)、纱线,专业化生产销售色织布、服装、纺织品的外向型棉纺织
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
861,2395,双象股份,无锡双象超纤材料股份有限公司,江苏,无锡市,127344.25,1308.95,761,2010-04-29,--,,塑料制品,PVC、PU、超纤、PMMA,超细纤维超真皮革、PU合成革、PVC人造革的生产和销售，经营进料加工和“三来一补”业务
862,2396,星网锐捷,福建星网锐捷通讯股份有限公司,福建,福州市,770513.56,47230.28,8577,2010-06-23,--,,通信终端设备,通信设备,研发、生产和销售企业级网络通讯系统设备及终端设备
863,2397,梦洁股份,湖南梦洁家纺股份有限公司,湖南,长沙市,193392.44,5126.37,3797,2010-04-29,--,,家纺,套件、被芯、枕芯,床上用品系列产品的研发、设计、生产和销售
864,2398,建研集团,厦门市建筑科学研究院集团股份有限公司,福建,厦门市,199765.57,19109.13,1669,2010-05-06,--,,专业工程,技术服务、外加剂新材料,建设综合技术服务、商品混凝土、外加剂新材料、蒸压加气混凝土砌块、特种工程施工等
865,2399,海普瑞,深圳市海普瑞药业集团股份有限公司,广东,深圳市,267020.59,13133.03,1615,2010-05-06,--,,化学原料药,肝素钠原料药,肝素钠原料药的研发生产和销售
866,2400,省广集团,广东省广告集团股份有限公司,广东,广州市,1129519.62,-18410.58,2375,2010-05-06,--,,营销服务,广告行业,品牌管理、自有媒体发布、媒介代理、公关活动和杂志发行等
867,2401,中远海科,中远海运科技股份有限公司,上海,上海市,91700.69,7595.1,682,2010-05-06,--,,其他软件服务,软件和信息技术服务,主要从事智能交通和交通信息化、航运信息化、工业和港航自动化、安防系统等领域的业务
868,2402,和而泰,深圳和而泰智能控制股份有限公司,广东,深圳市,197856.79,17810.37,3372,2010-05-11,--,,电子零部件,智能控制电子,智能控制器的研发、生产和销售，包括智能控制技术的研究、对应的嵌入式软件与算法的开发、技术解决方案的提供、产品设计、生产、物流服务等。
869,2403,爱仕达,浙江爱仕达电器股份有限公司,浙江,台州市,307154.55,17273.89,4431,2010-05-11,--,,小家电,炊具、家电、机器人,生产厨房炊具、厨房小家电、家居用品及机器人本体、机器人应用
870,2404,嘉欣丝绸,浙江嘉欣丝绸股份有限公司,浙江,嘉兴市,277316.66,11177.69,3237,2010-05-11,--,,丝绸,丝绸,从事丝、绸、服装等产品的研发、生产和销售业务
871,2405,四维图新,北京四维图新科技股份有限公司,北京,北京市,215648.78,26519.96,4762,2010-05-18,--,,行业应用软件,导航电子地图、综合地理信息服务,导航电子地图的开发和销售
872,2406,远东传动,许昌远东传动轴股份有限公司,河南,许昌市,152261.13,18721.18,1523,2010-05-18,--,,汽车零部件,汽车零部件,生产销售汽车和工程机械传动轴
873,2407,多氟多,多氟多化工股份有限公司,河南,焦作市,373584.55,25651.2,5029,2010-05-18,--,,氟化工,氟化盐、锂电池及核心材料、新能源汽车,六氟磷酸锂及电子化学品、锂离子电池、新能源汽车、无机氟化盐
874,2408,齐翔腾达,淄博齐翔腾达化工股份有限公司,山东,淄博市,2222619.7,84961.2,2145,2010-05-18,--,,聚氨酯,甲乙酮类、顺酐化工类、化工其他类、供应链管理,对原料碳四进行深度加工转化成高附加值精细化工产品的研发、生产和销售
875,2409,雅克科技,江苏雅克科技股份有限公司,江苏,无锡市,113292.21,3452.8,766,2010-05-25,--,,其他化学制品,聚氨酯阻燃剂、发泡剂、催化剂、塑料阻燃剂、深冷复合节能保温材料,磷酸酯阻燃剂和其他橡塑助剂的研发、生产和销售。
876,2410,广联达,广联达科技股份有限公司,北京,北京市,233972.76,47224.42,5200,2010-05-25,--,,行业应用软件,工程造价业务、工程施工业务、海外业务,提供工具类软件产品系列、管理类软件产品系列；提供实施服务、技术服务、培训服务
877,2411,必康股份,江苏必康制药股份有限公司,江苏,南通市,536800.58,89262.58,6435,2010-05-25,--,,中药生产,医药生产类、医药商业类、新能源类、新材料类、化工类,医药板块、新能源新材料板块以及药物中间体（医药中间体、农药中间体）板块三大类
878,2412,汉森制药,湖南汉森制药股份有限公司,湖南,益阳市,82993.78,10880.68,2161,2010-05-25,--,,中药生产,中西药制剂、化学合成药,传统中成药制剂、化学药、医用制剂的研发、生产和销售
879,2413,雷科防务,江苏雷科防务科技股份有限公司,江苏,常州市,76718.06,12256.26,1203,2010-05-28,--,,卫星应用,雷达系统、遥感测控、卫星导航、数字系统、模拟仿真、安全存储,雷达系统、遥感测控、卫星导航、数字系统、模拟仿真、安全存储等产品研发、制造和销售。
880,2414,高德红外,武汉高德红外股份有限公司,湖北,武汉市,101645.78,5844.48,2764,2010-07-16,--,,电子零部件,红外热成像仪及综合光电系统、传统弹药及信息化弹药、房屋出租、技术服务,红外热像仪产品的研发、生产和销售，并提供技术服务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
881,2415,海康威视,杭州海康威视数字技术股份有限公司,浙江,杭州市,4190547.66,941085.51,26330,2010-05-28,--,,PC、服务器及硬件,视频产品及视频服务,安防产品的研发、生产和销售。
882,2416,爱施德,深圳市爱施德股份有限公司,广东,深圳市,5665990.63,37896.76,2882,2010-05-28,--,,专业连锁,移动通信产品、数码电子产品,国内商业，移动通讯、电子产品及相关配套产品的购销与代理，供应链管理等
883,2417,深南股份,深南金科股份有限公司,福建,福州市,10483.54,767.18,110,2010-06-01,--,,通信配套服务,通讯制造、保理服务、融资租赁,商业保理、融资租赁、大数据业务相关的研究、开发、销售及应用软件等服务
884,2418,康盛股份,浙江康盛股份有限公司,浙江,杭州市,333947.54,19148.86,4455,2010-06-01,--,,制冷配件,新能源汽车部件、制冷管路及配件,"内螺纹钢管、精密铜管、钢管、铝管、冷轧钢带、铜带、冰箱、冷柜、空调金属管路配件的加工、销售,同时经营进出口业务，电机、电控、电空调等产品的研发、生产、销售，融资租赁业务及相关的咨询、担保和商业保理"
885,2419,天虹股份,天虹商场股份有限公司,广东,深圳市,1853628.47,71819.26,15249,2010-06-01,--,,百货,零售、房地产开发,提供服饰、日用品、生鲜、熟食等商品及餐饮、娱乐等服务
886,2420,毅昌股份,广州毅昌科技股份有限公司,广东,广州市,569773.36,-47852.76,5933,2010-06-01,--,,电视机,家电行业、汽车行业,设计、生产和销售电视机结构件、白色家电结构件以及汽车结构件等
887,2421,达实智能,深圳达实智能股份有限公司,广东,深圳市,257248.77,31182.58,2412,2010-06-03,--,,行业应用软件,信息技术服务,建筑智能化及建筑节能服务，同时提供工业自动化系统集成和IC卡读写设备的生产、销售业务
888,2422,科伦药业,四川科伦药业股份有限公司,四川,成都市,1143494.88,74854.42,18289,2010-06-03,--,,化学制剂,医药制造,输液系列药品的开发、生产和销售
889,2423,中原特钢,中原特钢股份有限公司,河南,济源市,97292.59,-25792.04,2404,2010-06-03,--,,基础件,专用设备制造,工业专用装备及大型特殊钢精锻件的研发、生产、销售和服务
890,2424,贵州百灵,贵州百灵企业集团制药股份有限公司,贵州,安顺市,259181.67,52613.74,5456,2010-06-03,--,,中药生产,苗药、非苗药,从事止咳化痰用药、感冒用药、心脑血管用药等中成药的生产与销售
891,2425,凯撒文化,凯撒(中国)文化股份有限公司,广东,汕头市,70387.17,25457.15,604,2010-06-08,--,,游戏,服装业、文化与娱乐业,网络游戏的研发及运营、IP运营、多媒体文化产品设计制作、文学剧本创作、影视策划、投资以及服装、服饰的设计、销售
